Dataset,Precision,Recall,F1,Dice,IoU
Fake-Vaihingen-lama,96.41,99.1,97.74,97.74,95.58
Fake-Vaihingen-repaint,94.08,97.38,95.7,95.7,91.75
Fake-LoveDA-lama,98.19,99.42,98.8,98.8,97.63
Fake-LoveDA-repaint,98.52,99.51,99.01,99.01,98.04
Local_Diffusion,98.94,99.76,99.35,99.35,98.71
Overall (pooled forged-only),98.31,99.48,98.89,98.89,97.8
Overall (incl. real FP),98.17,99.48,98.82,98.82,97.66
